Time Since Start (in seconds),Participant ID,Trial Number,Condition Number,Head Position x,Head Position y,Head Position z
24.69746,1,1,1,0.6828942,2.478271,-0.2597815
24.70866,1,1,1,0.683482,2.478351,-0.2596485
24.71983,1,1,1,0.6840997,2.478415,-0.2594278
24.73084,1,1,1,0.6849292,2.478492,-0.259216
24.74205,1,1,1,0.6858465,2.478737,-0.2590671
24.75317,1,1,1,0.6867625,2.478936,-0.2589625
24.76423,1,1,1,0.6878416,2.479081,-0.2590148
24.7754,1,1,1,0.688843,2.479227,-0.25895
24.78638,1,1,1,0.6899486,2.479274,-0.259049
24.7975,1,1,1,0.6911351,2.479232,-0.2593075
24.80859,1,1,1,0.6923406,2.479199,-0.2594105
24.81976,1,1,1,0.6935173,2.479059,-0.2595422
24.83112,1,1,1,0.6947555,2.478842,-0.2598539
24.84194,1,1,1,0.6959844,2.478527,-0.2601116
24.85305,1,1,1,0.6972931,2.478191,-0.2604277
24.86426,1,1,1,0.6988515,2.477733,-0.2608846
24.87532,1,1,1,0.7003078,2.477297,-0.2612623
24.88634,1,1,1,0.7017663,2.476879,-0.2616468
24.8975,1,1,1,0.7035781,2.47639,-0.2622505
24.90868,1,1,1,0.705157,2.47594,-0.262702
24.91964,1,1,1,0.7068271,2.475487,-0.2631359
24.93079,1,1,1,0.7084365,2.475027,-0.2636808
24.94195,1,1,1,0.710314,2.474626,-0.2642511
24.95303,1,1,1,0.712061,2.474298,-0.264732
24.96422,1,1,1,0.7139611,2.474037,-0.2654509
24.97527,1,1,1,0.7157561,2.473741,-0.2659877
24.98631,1,1,1,0.7176253,2.473482,-0.2664064
24.99742,1,1,1,0.719676,2.473278,-0.2670456
25.00855,1,1,1,0.7217048,2.473125,-0.2674691
25.01968,1,1,1,0.7238037,2.473037,-0.2678356
25.03081,1,1,1,0.7258394,2.473003,-0.2682258
25.04189,1,1,1,0.7280681,2.472954,-0.2687345
25.05299,1,1,1,0.7302663,2.472967,-0.2689957
25.06409,1,1,1,0.7322933,2.473118,-0.2694434
25.07519,1,1,1,0.7345031,2.473152,-0.2696135
25.08632,1,1,1,0.7368106,2.473455,-0.2696675
25.09739,1,1,1,0.7390078,2.473901,-0.269752
25.10843,1,1,1,0.7414884,2.474425,-0.2698605
25.11969,1,1,1,0.7438881,2.474861,-0.2698754
25.13073,1,1,1,0.7461715,2.475306,-0.2699021
25.1418,1,1,1,0.7486263,2.475504,-0.2699805
25.15287,1,1,1,0.7511531,2.475718,-0.2698933
25.16411,1,1,1,0.7536523,2.475974,-0.2698681
25.1753,1,1,1,0.7562105,2.476217,-0.2697013
25.18627,1,1,1,0.7588405,2.476542,-0.2695251
25.19736,1,1,1,0.7614797,2.476882,-0.2695595
25.20845,1,1,1,0.7641906,2.477198,-0.2692737
25.21952,1,1,1,0.7668152,2.477434,-0.2689737
25.23065,1,1,1,0.769425,2.477599,-0.2687083
25.24178,1,1,1,0.7721489,2.477632,-0.2685579
25.25285,1,1,1,0.7748289,2.477701,-0.2681937
25.26438,1,1,1,0.7775097,2.477837,-0.2679643
25.27511,1,1,1,0.7801288,2.47799,-0.2675193
25.2862,1,1,1,0.782778,2.478308,-0.267009
25.29739,1,1,1,0.7853255,2.478652,-0.2667111
25.30836,1,1,1,0.7880122,2.478977,-0.2660881
25.31961,1,1,1,0.7906345,2.479345,-0.2654078
25.33068,1,1,1,0.7931084,2.47975,-0.2647893
25.34179,1,1,1,0.7957841,2.480096,-0.2641054
25.35281,1,1,1,0.7984092,2.480444,-0.2632672
25.36397,1,1,1,0.8007708,2.480862,-0.2626563
25.375,1,1,1,0.803361,2.481098,-0.2617896
25.3864,1,1,1,0.8059924,2.481356,-0.2608253
25.3973,1,1,1,0.8084121,2.481705,-0.2598964
25.40838,1,1,1,0.8111131,2.481952,-0.2588646
25.41946,1,1,1,0.813799,2.482263,-0.2577113
25.43059,1,1,1,0.8163449,2.482644,-0.2566606
25.44173,1,1,1,0.8190726,2.482814,-0.2555906
25.45274,1,1,1,0.8218625,2.483087,-0.254325
25.46398,1,1,1,0.8245556,2.483509,-0.253262
25.47509,1,1,1,0.8273711,2.483903,-0.2520226
25.48609,1,1,1,0.8303783,2.484538,-0.2507143
25.49763,1,1,1,0.8331805,2.485372,-0.2495179
25.5083,1,1,1,0.8363506,2.486231,-0.2483599
25.51943,1,1,1,0.839556,2.486986,-0.2472283
25.5305,1,1,1,0.8425065,2.487666,-0.2462661
25.54157,1,1,1,0.8458414,2.488106,-0.2453206
25.55287,1,1,1,0.8491766,2.488551,-0.2443355
25.56404,1,1,1,0.8523387,2.489111,-0.2436078
25.57495,1,1,1,0.8556857,2.489653,-0.2427709
25.58618,1,1,1,0.8590234,2.49021,-0.2419456
25.59718,1,1,1,0.8621097,2.490805,-0.2413055
