Time Since Start (in seconds),Participant ID,Trial Number,Trial Length,Condition Number,Head Position x,Head Position y,Head Position z
8.883142,asdf,1,10,1,0,1.59,0
8.885715,asdf,1,10,1,0,1.59,0
8.887919,asdf,1,10,1,0,1.59,0
8.89038,asdf,1,10,1,0,1.59,0
8.894252,asdf,1,10,1,0,1.59,0
8.897925,asdf,1,10,1,0,1.59,0
8.900288,asdf,1,10,1,0,1.59,0
8.90277,asdf,1,10,1,0,1.59,0
8.905098,asdf,1,10,1,0,1.59,0
8.90729,asdf,1,10,1,0,1.59,0
8.909361,asdf,1,10,1,0,1.59,0
8.911393,asdf,1,10,1,0,1.59,0
8.913782,asdf,1,10,1,0,1.59,0
8.916024,asdf,1,10,1,0,1.59,0
8.918113,asdf,1,10,1,0,1.59,0
8.920269,asdf,1,10,1,0,1.59,0
8.923162,asdf,1,10,1,0,1.59,0
8.925237,asdf,1,10,1,0,1.59,0
8.927272,asdf,1,10,1,0,1.59,0
8.929644,asdf,1,10,1,0,1.59,0
8.93185,asdf,1,10,1,0,1.59,0
8.933858,asdf,1,10,1,0,1.59,0
8.935889,asdf,1,10,1,0,1.59,0
8.938591,asdf,1,10,1,0,1.59,0
8.940816,asdf,1,10,1,0,1.59,0
8.943201,asdf,1,10,1,0,1.59,0
8.945447,asdf,1,10,1,0,1.59,0
8.947603,asdf,1,10,1,0,1.59,0
8.949745,asdf,1,10,1,0,1.59,0
8.951824,asdf,1,10,1,0,1.59,0
8.95407,asdf,1,10,1,0,1.59,0
8.956176,asdf,1,10,1,0,1.59,0
8.958247,asdf,1,10,1,0,1.59,0
8.960311,asdf,1,10,1,0,1.59,0
8.962622,asdf,1,10,1,0,1.59,0
8.964764,asdf,1,10,1,0,1.59,0
8.966885,asdf,1,10,1,0,1.59,0
8.969022,asdf,1,10,1,0,1.59,0
8.97116,asdf,1,10,1,0,1.59,0
8.97311,asdf,1,10,1,0,1.59,0
8.975121,asdf,1,10,1,0,1.59,0
8.977272,asdf,1,10,1,0,1.59,0
8.979354,asdf,1,10,1,0,1.59,0
8.981456,asdf,1,10,1,0,1.59,0
8.983847,asdf,1,10,1,0,1.59,0
8.985964,asdf,1,10,1,0,1.59,0
8.988053,asdf,1,10,1,0,1.59,0
8.990108,asdf,1,10,1,0,1.59,0
8.992145,asdf,1,10,1,0,1.59,0
8.994249,asdf,1,10,1,0,1.59,0
8.996423,asdf,1,10,1,0,1.59,0
8.998562,asdf,1,10,1,0,1.59,0
9.00082,asdf,1,10,1,0,1.59,0
9.003293,asdf,1,10,1,0,1.59,0
9.005719,asdf,1,10,1,0,1.59,0
9.007865,asdf,1,10,1,0,1.59,0
9.009921,asdf,1,10,1,0,1.59,0
9.011943,asdf,1,10,1,0,1.59,0
9.014126,asdf,1,10,1,0,1.59,0
9.016369,asdf,1,10,1,0,1.59,0
9.0185,asdf,1,10,1,0,1.59,0
9.02063,asdf,1,10,1,0,1.59,0
9.023066,asdf,1,10,1,0,1.59,0
9.025132,asdf,1,10,1,0,1.59,0
9.027212,asdf,1,10,1,0,1.59,0
9.02928,asdf,1,10,1,0,1.59,0
9.031331,asdf,1,10,1,0,1.59,0
9.033409,asdf,1,10,1,0,1.59,0
9.035493,asdf,1,10,1,0,1.59,0
9.037519,asdf,1,10,1,0,1.59,0
9.039629,asdf,1,10,1,0,1.59,0
9.041623,asdf,1,10,1,0,1.59,0
9.043957,asdf,1,10,1,0,1.59,0
9.046035,asdf,1,10,1,0,1.59,0
9.048111,asdf,1,10,1,0,1.59,0
9.050173,asdf,1,10,1,0,1.59,0
9.052271,asdf,1,10,1,0,1.59,0
9.054199,asdf,1,10,1,0,1.59,0
9.056236,asdf,1,10,1,0,1.59,0
9.058262,asdf,1,10,1,0,1.59,0
9.060226,asdf,1,10,1,0,1.59,0
9.062514,asdf,1,10,1,0,1.59,0
9.064551,asdf,1,10,1,0,1.59,0
9.066664,asdf,1,10,1,0,1.59,0
9.06872,asdf,1,10,1,0,1.59,0
9.070779,asdf,1,10,1,0,1.59,0
9.072758,asdf,1,10,1,0,1.59,0
9.074872,asdf,1,10,1,0,1.59,0
9.076972,asdf,1,10,1,0,1.59,0
9.078993,asdf,1,10,1,0,1.59,0
9.08104,asdf,1,10,1,0,1.59,0
9.083436,asdf,1,10,1,0,1.59,0
