Time Since Start (in seconds),Participant ID,Trial Number,Condition Number,Head Position x,Head Position y,Head Position z
28.5027,me,1,1,0.116532,1.881893,-0.8502897
28.51343,me,1,1,0.1165049,1.881931,-0.8502818
28.52467,me,1,1,0.1164243,1.881973,-0.8502444
28.53577,me,1,1,0.116321,1.881997,-0.8502882
28.54678,me,1,1,0.1162445,1.882008,-0.8501958
28.558,me,1,1,0.1162271,1.881999,-0.8501174
28.56961,me,1,1,0.1161665,1.882004,-0.8500955
28.58073,me,1,1,0.1160931,1.882051,-0.8500234
28.59191,me,1,1,0.1160094,1.882134,-0.8499544
28.60252,me,1,1,0.1159617,1.882157,-0.8498513
28.61346,me,1,1,0.1158642,1.882181,-0.8497884
28.62459,me,1,1,0.1158745,1.882178,-0.8496974
28.6357,me,1,1,0.1157908,1.882218,-0.8495739
28.64702,me,1,1,0.1157591,1.882283,-0.8494889
28.65824,me,1,1,0.1157271,1.882338,-0.849399
28.66906,me,1,1,0.1156976,1.882406,-0.8493047
28.68061,me,1,1,0.1155719,1.882501,-0.8491502
28.69533,me,1,1,0.1155316,1.882553,-0.8490427
28.70232,me,1,1,0.1154975,1.882597,-0.8489753
28.71378,me,1,1,0.1155164,1.882689,-0.8488911
28.72459,me,1,1,0.1154925,1.882702,-0.8488159
28.73565,me,1,1,0.1154236,1.882728,-0.8487173
28.74693,me,1,1,0.1153764,1.882717,-0.8486569
28.75806,me,1,1,0.1152794,1.882747,-0.8486258
28.76915,me,1,1,0.1152281,1.882741,-0.8486145
28.78004,me,1,1,0.1152119,1.882772,-0.8485281
28.79157,me,1,1,0.115241,1.882694,-0.8484758
28.80235,me,1,1,0.1152088,1.882685,-0.8484823
28.81335,me,1,1,0.1152293,1.882707,-0.848449
28.82465,me,1,1,0.1152057,1.882708,-0.8484437
28.83565,me,1,1,0.1151523,1.882692,-0.8484279
28.84697,me,1,1,0.115138,1.88265,-0.8484337
28.85853,me,1,1,0.1151125,1.882616,-0.8484674
28.86902,me,1,1,0.1150867,1.882566,-0.8484844
28.88002,me,1,1,0.1151151,1.882568,-0.8485065
28.89109,me,1,1,0.115096,1.882548,-0.8485365
28.90269,me,1,1,0.1151018,1.882534,-0.8485833
28.91339,me,1,1,0.115056,1.882551,-0.8486302
28.92472,me,1,1,0.1150567,1.882581,-0.848693
28.93563,me,1,1,0.1150748,1.882629,-0.8487613
28.94663,me,1,1,0.1150541,1.882637,-0.8488109
28.95776,me,1,1,0.1151194,1.882597,-0.8488436
28.96882,me,1,1,0.115117,1.882595,-0.8489096
28.98006,me,1,1,0.1151103,1.882601,-0.8489927
28.99184,me,1,1,0.1151511,1.88255,-0.8490456
29.00225,me,1,1,0.1151428,1.882539,-0.8490856
29.01369,me,1,1,0.115148,1.882556,-0.8491132
29.02444,me,1,1,0.1150805,1.882614,-0.8491688
29.03558,me,1,1,0.1150262,1.882619,-0.849323
29.04658,me,1,1,0.1150286,1.882607,-0.8493667
29.05772,me,1,1,0.1150169,1.882617,-0.8493962
29.069,me,1,1,0.1150007,1.882615,-0.8493478
29.07994,me,1,1,0.1150138,1.882661,-0.8493862
29.09157,me,1,1,0.1150476,1.882626,-0.8494024
29.10224,me,1,1,0.1150469,1.882615,-0.8493882
29.1133,me,1,1,0.1149806,1.882612,-0.8494055
29.12442,me,1,1,0.114943,1.882647,-0.8494395
29.13549,me,1,1,0.1149542,1.8827,-0.849508
29.14689,me,1,1,0.1150031,1.882711,-0.8495449
29.15775,me,1,1,0.1150484,1.882704,-0.8495563
29.16901,me,1,1,0.1150455,1.882703,-0.8495098
29.17994,me,1,1,0.1150443,1.882757,-0.849481
29.19103,me,1,1,0.1149542,1.882847,-0.8495044
29.20219,me,1,1,0.1149644,1.882863,-0.8495271
29.21326,me,1,1,0.1149475,1.882849,-0.8495717
29.22489,me,1,1,0.1150102,1.882812,-0.8495471
29.23569,me,1,1,0.1150138,1.882809,-0.8495355
29.24649,me,1,1,0.1149108,1.882822,-0.8494055
29.25767,me,1,1,0.1149215,1.882778,-0.8493762
29.2688,me,1,1,0.1149089,1.882754,-0.849369
29.27999,me,1,1,0.1149342,1.882766,-0.8493294
29.29106,me,1,1,0.1148843,1.882785,-0.849322
29.30214,me,1,1,0.114876,1.882747,-0.8493736
29.31316,me,1,1,0.1148333,1.882704,-0.8494338
29.32434,me,1,1,0.1147711,1.882724,-0.8494333
29.33551,me,1,1,0.114741,1.882737,-0.8494459
29.34644,me,1,1,0.1147196,1.882723,-0.849435
29.35756,me,1,1,0.1147747,1.882627,-0.8494182
29.36873,me,1,1,0.1147518,1.882607,-0.8493941
29.38006,me,1,1,0.1147739,1.882663,-0.8493739
29.39162,me,1,1,0.1146876,1.882712,-0.849385
29.40203,me,1,1,0.1146478,1.882721,-0.8493779
29.41317,me,1,1,0.1146686,1.882772,-0.849396
29.42435,me,1,1,0.1147229,1.882733,-0.8493891
29.43539,me,1,1,0.1146233,1.882702,-0.8493669
29.44687,me,1,1,0.1146352,1.882698,-0.8493783
29.45759,me,1,1,0.1146392,1.882689,-0.8493779
29.46866,me,1,1,0.1146202,1.882701,-0.8493612
