Time Since Start (in seconds),Participant ID,Trial Number,Condition Number,Head Position x,Head Position y,Head Position z
15.96986,te,3,3,0.1075685,1.635779,0.1159801
15.98117,te,3,3,0.1076178,1.635781,0.1160665
15.9922,te,3,3,0.1076657,1.635787,0.1161644
16.00323,te,3,3,0.1077391,1.635792,0.1162529
16.01432,te,3,3,0.1078313,1.635768,0.1163807
16.02542,te,3,3,0.1076887,1.635737,0.1165693
16.03664,te,3,3,0.1077508,1.635687,0.1166825
16.04762,te,3,3,0.1077303,1.635593,0.1167908
16.05869,te,3,3,0.107764,1.635624,0.1168792
16.06983,te,3,3,0.1078383,1.635689,0.1170824
16.08125,te,3,3,0.1078802,1.635738,0.1171787
16.09218,te,3,3,0.1079185,1.635711,0.1172392
16.1032,te,3,3,0.1079827,1.635748,0.1173263
16.11434,te,3,3,0.1081281,1.635854,0.1174932
16.12568,te,3,3,0.1082856,1.6359,0.1175191
16.13674,te,3,3,0.1083715,1.63592,0.1175897
16.14776,te,3,3,0.1084798,1.635883,0.1174958
16.15892,te,3,3,0.1085621,1.635872,0.1175189
16.17007,te,3,3,0.1086928,1.635764,0.1174493
16.18132,te,3,3,0.1087889,1.635757,0.1174576
16.19216,te,3,3,0.108923,1.635754,0.1173944
16.20329,te,3,3,0.1090477,1.63572,0.1173036
16.21438,te,3,3,0.1091505,1.635759,0.1173084
16.2254,te,3,3,0.1093186,1.635765,0.1172419
16.23712,te,3,3,0.109432,1.635749,0.1172316
16.24759,te,3,3,0.1096414,1.635736,0.1172993
16.2585,te,3,3,0.1097731,1.635708,0.1172678
16.26964,te,3,3,0.1099265,1.635662,0.1171763
16.28074,te,3,3,0.1100456,1.635611,0.1171422
16.29184,te,3,3,0.1101846,1.635581,0.1171002
16.30299,te,3,3,0.1102538,1.635511,0.1170692
16.3142,te,3,3,0.1104145,1.635485,0.1170096
16.32527,te,3,3,0.1107061,1.635485,0.117125
16.33651,te,3,3,0.1108995,1.635548,0.1172423
16.34766,te,3,3,0.1110807,1.635556,0.1171842
16.35894,te,3,3,0.111308,1.635494,0.117219
16.36996,te,3,3,0.1115146,1.635507,0.117208
16.38099,te,3,3,0.1116971,1.635523,0.1171291
16.39224,te,3,3,0.1119009,1.635512,0.117157
16.40321,te,3,3,0.1121314,1.635493,0.1170855
16.41421,te,3,3,0.1124078,1.635513,0.1170063
16.42535,te,3,3,0.1126914,1.635489,0.1169155
16.43636,te,3,3,0.1129862,1.635473,0.1168489
16.44744,te,3,3,0.1133145,1.635415,0.1166573
16.45858,te,3,3,0.113636,1.635401,0.1165631
16.46951,te,3,3,0.1140723,1.635441,0.1165411
16.48076,te,3,3,0.1145104,1.635417,0.116431
16.49184,te,3,3,0.1149767,1.635442,0.1163435
16.5028,te,3,3,0.115407,1.635416,0.1162641
16.51389,te,3,3,0.1158962,1.635355,0.1161773
16.525,te,3,3,0.1164454,1.635313,0.1161616
16.53629,te,3,3,0.1170029,1.635201,0.116112
16.54753,te,3,3,0.1176412,1.635117,0.1160305
16.55884,te,3,3,0.1182448,1.635051,0.1159663
16.5697,te,3,3,0.1189281,1.63491,0.1158257
16.58088,te,3,3,0.1196655,1.634861,0.1157265
16.59199,te,3,3,0.1204544,1.634727,0.1157308
16.60304,te,3,3,0.1212806,1.634646,0.1156383
16.61409,te,3,3,0.1221727,1.634555,0.1155343
16.62507,te,3,3,0.1230867,1.634479,0.1154487
16.63618,te,3,3,0.12406,1.63439,0.1153691
16.64736,te,3,3,0.1250978,1.634294,0.1152604
16.65826,te,3,3,0.1261264,1.634116,0.1149404
16.66954,te,3,3,0.1273317,1.63398,0.1147873
16.68062,te,3,3,0.1283636,1.633799,0.114624
16.69169,te,3,3,0.1295793,1.633621,0.1144695
16.70312,te,3,3,0.1309285,1.6335,0.1142907
16.7141,te,3,3,0.1322479,1.633301,0.1142471
16.72525,te,3,3,0.1336619,1.633079,0.114095
16.73653,te,3,3,0.1350895,1.632886,0.1140909
16.74771,te,3,3,0.1366098,1.632619,0.1139443
16.75861,te,3,3,0.1381592,1.632388,0.1137943
16.76959,te,3,3,0.1398039,1.632074,0.1135554
16.78065,te,3,3,0.1414602,1.631721,0.1133711
16.79172,te,3,3,0.1431923,1.63142,0.1133168
16.80289,te,3,3,0.1449759,1.630992,0.1131399
16.81404,te,3,3,0.146884,1.630742,0.1132369
16.82492,te,3,3,0.1487441,1.630361,0.1130562
16.83606,te,3,3,0.1506739,1.629918,0.1128845
16.84719,te,3,3,0.1527152,1.629475,0.112648
16.85832,te,3,3,0.154876,1.62907,0.1124003
16.86942,te,3,3,0.1571887,1.628678,0.1121511
16.88061,te,3,3,0.1596489,1.628228,0.1118782
16.89169,te,3,3,0.1620686,1.627758,0.1115899
16.90287,te,3,3,0.1646054,1.627253,0.1113186
16.91401,te,3,3,0.1672871,1.626648,0.1110117
16.92517,te,3,3,0.1699686,1.626076,0.1107097
16.93631,te,3,3,0.1727822,1.625471,0.1104078
16.94736,te,3,3,0.1756792,1.624863,0.1101096
16.95833,te,3,3,0.1787999,1.62421,0.1097727
16.96947,te,3,3,0.1819792,1.623504,0.1094031
16.98068,te,3,3,0.18524,1.622761,0.1090233
16.99174,te,3,3,0.1886919,1.622029,0.1086135
17.00276,te,3,3,0.1922744,1.621254,0.1081924
17.01407,te,3,3,0.1959696,1.620433,0.1077523
17.02502,te,3,3,0.1996763,1.619631,0.107202
17.03625,te,3,3,0.2036126,1.61874,0.1068191
17.04767,te,3,3,0.2077313,1.617774,0.1063309
17.05886,te,3,3,0.2119382,1.616848,0.1059756
17.06961,te,3,3,0.2162741,1.615847,0.1055782
17.08086,te,3,3,0.2208174,1.614769,0.1050498
17.09197,te,3,3,0.2254486,1.613616,0.104469
17.10296,te,3,3,0.2302621,1.612512,0.1038816
17.11402,te,3,3,0.2352438,1.611361,0.1031995
17.12504,te,3,3,0.2401524,1.610231,0.1026213
17.13615,te,3,3,0.245359,1.608981,0.1019776
17.14743,te,3,3,0.2505839,1.607738,0.1013527
17.15827,te,3,3,0.2558513,1.606531,0.1007037
17.16951,te,3,3,0.2615159,1.605367,0.09994909
17.18049,te,3,3,0.2671288,1.604216,0.0991995
17.19166,te,3,3,0.2727578,1.603048,0.09852859
17.20275,te,3,3,0.2787579,1.601746,0.09768841
17.21388,te,3,3,0.2845111,1.600414,0.09706089
17.22498,te,3,3,0.290552,1.598983,0.09622952
17.23615,te,3,3,0.2965007,1.59748,0.09558436
17.24745,te,3,3,0.3026901,1.595835,0.09491512
17.25841,te,3,3,0.3089498,1.594135,0.09406564
17.26944,te,3,3,0.3151884,1.592328,0.09331462
17.28048,te,3,3,0.3213311,1.59037,0.09251019
17.29157,te,3,3,0.3275223,1.588054,0.0917103
17.30666,te,3,3,0.333793,1.585626,0.09104463
17.31378,te,3,3,0.3400367,1.583308,0.09027502
17.32491,te,3,3,0.3461452,1.580871,0.08960053
17.33578,te,3,3,0.3522454,1.578302,0.08891484
17.34701,te,3,3,0.3581736,1.575651,0.08844993
17.35796,te,3,3,0.3640576,1.572724,0.08786008
17.36914,te,3,3,0.3697999,1.569535,0.08743665
17.38019,te,3,3,0.3753529,1.566164,0.08702368
17.39156,te,3,3,0.3809236,1.562913,0.0865435
17.40261,te,3,3,0.38636,1.559389,0.08601278
17.41378,te,3,3,0.391646,1.555905,0.08567756
17.42476,te,3,3,0.3966799,1.552435,0.08538288
17.43588,te,3,3,0.401594,1.549111,0.0853855
17.4471,te,3,3,0.4063638,1.545599,0.08498901
17.45815,te,3,3,0.41093,1.542139,0.08480352
17.46928,te,3,3,0.4153431,1.53885,0.08491939
17.48044,te,3,3,0.4195481,1.535484,0.08479947
17.49137,te,3,3,0.4235561,1.532014,0.08457798
17.50253,te,3,3,0.4270607,1.52853,0.08451718
17.51358,te,3,3,0.4305106,1.525074,0.08443493
17.52468,te,3,3,0.4339073,1.521631,0.08428186
17.53583,te,3,3,0.4367726,1.518403,0.08425015
17.54691,te,3,3,0.4396735,1.515255,0.08420509
17.55801,te,3,3,0.4419239,1.512361,0.08420342
17.56916,te,3,3,0.4440868,1.509611,0.08413857
17.58035,te,3,3,0.4460469,1.506984,0.08405656
17.59158,te,3,3,0.4475053,1.504613,0.08395332
17.60259,te,3,3,0.448586,1.502639,0.08386058
17.61399,te,3,3,0.449288,1.501095,0.08379406
17.62489,te,3,3,0.4499646,1.499821,0.08354753
17.63587,te,3,3,0.4500399,1.499187,0.08336848
17.64703,te,3,3,0.4499539,1.49874,0.08320016
17.65792,te,3,3,0.4493669,1.498921,0.08303779
17.66904,te,3,3,0.4487243,1.499314,0.08282059
17.6802,te,3,3,0.4474042,1.500625,0.08271354
17.69115,te,3,3,0.4463103,1.502093,0.08247513
17.70222,te,3,3,0.4445263,1.504361,0.08247346
17.71327,te,3,3,0.4426757,1.506805,0.08247846
17.7245,te,3,3,0.4403248,1.509878,0.08267254
17.73548,te,3,3,0.4377528,1.513349,0.08272642
17.74663,te,3,3,0.4348829,1.517218,0.08282751
17.75774,te,3,3,0.4315842,1.521337,0.0830664
17.76883,te,3,3,0.4281092,1.525958,0.08319253
17.78,te,3,3,0.4243258,1.530611,0.08351964
17.7913,te,3,3,0.4200414,1.535845,0.0837869
17.80249,te,3,3,0.4158238,1.540913,0.08414239
17.81388,te,3,3,0.411414,1.546307,0.08441943
17.82472,te,3,3,0.4068673,1.55178,0.0846948
17.83589,te,3,3,0.4018443,1.557439,0.08502525
17.8468,te,3,3,0.3968657,1.563074,0.08529729
17.85785,te,3,3,0.3913336,1.56886,0.08555216
17.86898,te,3,3,0.3857618,1.574672,0.08577627
17.8801,te,3,3,0.3802519,1.580392,0.08572525
17.89118,te,3,3,0.3738003,1.586137,0.08604237
17.90238,te,3,3,0.3678913,1.591809,0.08626172
17.91335,te,3,3,0.3613634,1.597409,0.08666274
17.92448,te,3,3,0.354851,1.602873,0.08677742
17.93532,te,3,3,0.3481243,1.608225,0.08700868
17.94646,te,3,3,0.3413384,1.613622,0.08723161
17.95755,te,3,3,0.3345886,1.618856,0.08730981
17.96852,te,3,3,0.3274486,1.623987,0.08743688
17.97975,te,3,3,0.3202246,1.628938,0.08754393
17.99103,te,3,3,0.3129559,1.633718,0.08768126
18.00206,te,3,3,0.3056729,1.638367,0.0876784
18.01331,te,3,3,0.2982996,1.642868,0.08778092
18.02453,te,3,3,0.2907265,1.64712,0.08782884
18.03554,te,3,3,0.2832432,1.651016,0.08792874
18.04647,te,3,3,0.2758241,1.654706,0.0881097
18.05781,te,3,3,0.2684539,1.658191,0.08822963
18.0687,te,3,3,0.2610147,1.661507,0.08842561
18.07983,te,3,3,0.2535179,1.66444,0.08854792
18.09096,te,3,3,0.2459889,1.667271,0.08872436
18.10215,te,3,3,0.237942,1.670343,0.08906315
18.11347,te,3,3,0.2304092,1.673505,0.0892608
18.1244,te,3,3,0.2229488,1.676669,0.08941148
18.13527,te,3,3,0.2154138,1.679422,0.08961295
18.14669,te,3,3,0.207732,1.681923,0.08984827
18.15757,te,3,3,0.1999045,1.684154,0.08995317
18.16867,te,3,3,0.1923595,1.686189,0.09021734
18.17982,te,3,3,0.1847324,1.687937,0.09020162
18.19095,te,3,3,0.177366,1.689414,0.09016275
18.202,te,3,3,0.1701512,1.691038,0.0903759
18.21296,te,3,3,0.1631253,1.692387,0.09053421
18.22389,te,3,3,0.1563289,1.693524,0.09054375
18.23502,te,3,3,0.1498072,1.694776,0.09058428
18.24633,te,3,3,0.1433349,1.696003,0.09053278
18.25761,te,3,3,0.1369536,1.697282,0.09056902
18.26863,te,3,3,0.1309947,1.698343,0.09042382
18.27968,te,3,3,0.1251369,1.699431,0.0904119
18.29083,te,3,3,0.1196259,1.700412,0.09036374
18.30204,te,3,3,0.1139551,1.701289,0.09038353
18.31308,te,3,3,0.1089277,1.701922,0.08995008
18.32422,te,3,3,0.1037328,1.702718,0.08995795
18.33538,te,3,3,0.09887613,1.703408,0.08971953
18.34632,te,3,3,0.09410454,1.704072,0.08957195
18.35727,te,3,3,0.08947229,1.704736,0.08954883
18.36835,te,3,3,0.08490062,1.705286,0.08935214
18.37953,te,3,3,0.08029294,1.705854,0.08933998
18.3905,te,3,3,0.07596374,1.706371,0.0891831
18.40156,te,3,3,0.07149065,1.706736,0.08894802
18.41306,te,3,3,0.06721592,1.707148,0.08881808
18.42404,te,3,3,0.06300092,1.707481,0.08871604
18.43502,te,3,3,0.0588969,1.707879,0.08850551
18.44596,te,3,3,0.05472255,1.708108,0.08815027
