Time Since Start (in seconds),Participant ID,Trial Number,Condition Number,Head Position x,Head Position y,Head Position z
12.68079,test,1,1,0.2939626,1.782199,-2.06294
12.69222,test,1,1,0.2938355,1.78217,-2.063112
12.70328,test,1,1,0.2938569,1.782174,-2.063087
12.715,test,1,1,0.2941111,1.782274,-2.06285
12.72539,test,1,1,0.2939197,1.782112,-2.063163
12.73641,test,1,1,0.2939406,1.782102,-2.063154
12.74762,test,1,1,0.2940865,1.782159,-2.062688
12.75875,test,1,1,0.2936898,1.782105,-2.063169
12.76999,test,1,1,0.2936941,1.782106,-2.06313
12.78121,test,1,1,0.2939273,1.782202,-2.062831
12.79239,test,1,1,0.293625,1.782145,-2.063206
12.8031,test,1,1,0.2936219,1.782151,-2.063182
12.8143,test,1,1,0.2938477,1.782251,-2.062776
12.82534,test,1,1,0.2935241,1.782186,-2.063182
12.83656,test,1,1,0.2935072,1.782205,-2.063166
12.84755,test,1,1,0.2937571,1.782322,-2.063158
12.85868,test,1,1,0.2934404,1.782201,-2.063566
12.86975,test,1,1,0.2934428,1.782208,-2.063555
12.88087,test,1,1,0.2936731,1.782304,-2.063113
12.89216,test,1,1,0.2934149,1.782156,-2.063488
12.90316,test,1,1,0.2934237,1.782164,-2.06348
12.91415,test,1,1,0.2936607,1.78227,-2.063361
12.92531,test,1,1,0.2934125,1.78219,-2.063694
12.93639,test,1,1,0.2934128,1.782184,-2.063695
12.94751,test,1,1,0.293579,1.782267,-2.063321
12.95864,test,1,1,0.2933005,1.78215,-2.063695
12.96967,test,1,1,0.2933112,1.78214,-2.063705
12.98114,test,1,1,0.2936095,1.782269,-2.063364
12.99229,test,1,1,0.2934533,1.782054,-2.06361
13.0032,test,1,1,0.2934795,1.782058,-2.063608
13.01408,test,1,1,0.2936889,1.782151,-2.063271
13.02545,test,1,1,0.2934476,1.782036,-2.063619
13.03634,test,1,1,0.2934485,1.782043,-2.06363
13.04738,test,1,1,0.2935952,1.782124,-2.063326
13.05873,test,1,1,0.2936266,1.782029,-2.063337
13.06984,test,1,1,0.2936278,1.782005,-2.063325
13.0807,test,1,1,0.2938124,1.782104,-2.063043
13.09183,test,1,1,0.2935234,1.781951,-2.063432
13.10307,test,1,1,0.2935229,1.781952,-2.063429
13.11414,test,1,1,0.2937694,1.782023,-2.063275
13.12523,test,1,1,0.293429,1.781994,-2.063707
13.13633,test,1,1,0.2934378,1.781994,-2.063715
13.14735,test,1,1,0.2936293,1.782072,-2.063594
13.15854,test,1,1,0.2932609,1.782,-2.064047
13.16967,test,1,1,0.2932712,1.782016,-2.064082
13.18069,test,1,1,0.2934814,1.782112,-2.063618
13.19183,test,1,1,0.2932416,1.781988,-2.063963
13.20316,test,1,1,0.2932445,1.781994,-2.063966
13.21406,test,1,1,0.2934404,1.782094,-2.063765
13.22523,test,1,1,0.2932385,1.781907,-2.064103
13.2365,test,1,1,0.2932466,1.781918,-2.064121
13.2475,test,1,1,0.2934955,1.78204,-2.063631
13.25859,test,1,1,0.2933298,1.781853,-2.063922
13.26955,test,1,1,0.2933381,1.781839,-2.063926
13.28063,test,1,1,0.293532,1.781926,-2.06366
13.29174,test,1,1,0.2930723,1.781946,-2.064209
13.30295,test,1,1,0.2930587,1.781962,-2.064226
13.31402,test,1,1,0.2932471,1.782059,-2.063858
13.32514,test,1,1,0.2929536,1.781915,-2.064269
13.33622,test,1,1,0.2929457,1.781926,-2.064286
13.34736,test,1,1,0.2932065,1.782051,-2.063773
13.35843,test,1,1,0.2929917,1.781962,-2.064095
13.36966,test,1,1,0.2929693,1.781956,-2.064105
13.38063,test,1,1,0.2931553,1.782059,-2.063652
13.39175,test,1,1,0.2929603,1.781933,-2.063914
13.40277,test,1,1,0.2929383,1.781938,-2.063917
13.41421,test,1,1,0.2931853,1.782043,-2.063819
13.42548,test,1,1,0.2930313,1.781891,-2.064072
13.43613,test,1,1,0.2930146,1.78189,-2.064096
13.44725,test,1,1,0.293191,1.781984,-2.063674
13.4585,test,1,1,0.2930985,1.781841,-2.06383
13.46952,test,1,1,0.293079,1.781839,-2.063833
13.48052,test,1,1,0.2934185,1.781947,-2.063625
13.49168,test,1,1,0.2930666,1.781915,-2.064044
13.50281,test,1,1,0.2930435,1.781914,-2.064062
13.5142,test,1,1,0.2932023,1.781989,-2.063685
13.52517,test,1,1,0.2929636,1.781772,-2.064066
13.53623,test,1,1,0.2929364,1.781756,-2.064075
13.5472,test,1,1,0.2931686,1.781841,-2.063834
