Time Since Start (in seconds),Participant ID,Trial Number,Trial Length,Condition Number,Head Position x,Head Position y,Head Position z
13.82057,testing,1,1,1,0,1.59,0
13.82336,testing,1,1,1,0,1.59,0
13.82556,testing,1,1,1,0,1.59,0
13.82775,testing,1,1,1,0,1.59,0
13.82994,testing,1,1,1,0,1.59,0
13.83209,testing,1,1,1,0,1.59,0
13.83438,testing,1,1,1,0,1.59,0
13.83667,testing,1,1,1,0,1.59,0
13.83883,testing,1,1,1,0,1.59,0
13.84099,testing,1,1,1,0,1.59,0
13.84345,testing,1,1,1,0,1.59,0
13.84562,testing,1,1,1,0,1.59,0
13.84784,testing,1,1,1,0,1.59,0
13.84998,testing,1,1,1,0,1.59,0
13.85292,testing,1,1,1,0,1.59,0
13.85517,testing,1,1,1,0,1.59,0
13.85743,testing,1,1,1,0,1.59,0
13.85961,testing,1,1,1,0,1.59,0
13.86183,testing,1,1,1,0,1.59,0
13.86429,testing,1,1,1,0,1.59,0
13.86647,testing,1,1,1,0,1.59,0
13.86865,testing,1,1,1,0,1.59,0
13.87088,testing,1,1,1,0,1.59,0
13.87307,testing,1,1,1,0,1.59,0
13.87536,testing,1,1,1,0,1.59,0
13.87753,testing,1,1,1,0,1.59,0
13.87973,testing,1,1,1,0,1.59,0
13.88191,testing,1,1,1,0,1.59,0
13.88451,testing,1,1,1,0,1.59,0
13.88824,testing,1,1,1,0,1.59,0
13.89156,testing,1,1,1,0,1.59,0
13.89381,testing,1,1,1,0,1.59,0
13.89602,testing,1,1,1,0,1.59,0
13.89822,testing,1,1,1,0,1.59,0
13.90031,testing,1,1,1,0,1.59,0
13.90278,testing,1,1,1,0,1.59,0
13.90494,testing,1,1,1,0,1.59,0
13.90703,testing,1,1,1,0,1.59,0
13.90912,testing,1,1,1,0,1.59,0
13.91126,testing,1,1,1,0,1.59,0
13.91348,testing,1,1,1,0,1.59,0
13.91564,testing,1,1,1,0,1.59,0
13.91773,testing,1,1,1,0,1.59,0
13.91982,testing,1,1,1,0,1.59,0
13.92188,testing,1,1,1,0,1.59,0
13.92422,testing,1,1,1,0,1.59,0
13.92634,testing,1,1,1,0,1.59,0
13.9285,testing,1,1,1,0,1.59,0
13.93065,testing,1,1,1,0,1.59,0
13.93275,testing,1,1,1,0,1.59,0
13.93487,testing,1,1,1,0,1.59,0
13.93698,testing,1,1,1,0,1.59,0
13.93916,testing,1,1,1,0,1.59,0
13.94131,testing,1,1,1,0,1.59,0
13.94376,testing,1,1,1,0,1.59,0
13.94587,testing,1,1,1,0,1.59,0
13.94802,testing,1,1,1,0,1.59,0
13.9501,testing,1,1,1,0,1.59,0
13.95217,testing,1,1,1,0,1.59,0
13.95424,testing,1,1,1,0,1.59,0
13.95629,testing,1,1,1,0,1.59,0
13.95839,testing,1,1,1,0,1.59,0
13.96041,testing,1,1,1,0,1.59,0
13.96281,testing,1,1,1,0,1.59,0
13.96489,testing,1,1,1,0,1.59,0
13.96697,testing,1,1,1,0,1.59,0
13.96908,testing,1,1,1,0,1.59,0
13.97121,testing,1,1,1,0,1.59,0
13.97329,testing,1,1,1,0,1.59,0
13.97537,testing,1,1,1,0,1.59,0
13.97752,testing,1,1,1,0,1.59,0
13.97964,testing,1,1,1,0,1.59,0
13.98173,testing,1,1,1,0,1.59,0
13.98413,testing,1,1,1,0,1.59,0
13.98621,testing,1,1,1,0,1.59,0
13.98831,testing,1,1,1,0,1.59,0
13.99037,testing,1,1,1,0,1.59,0
13.99245,testing,1,1,1,0,1.59,0
13.99453,testing,1,1,1,0,1.59,0
13.99659,testing,1,1,1,0,1.59,0
13.99868,testing,1,1,1,0,1.59,0
14.00075,testing,1,1,1,0,1.59,0
14.00312,testing,1,1,1,0,1.59,0
14.00519,testing,1,1,1,0,1.59,0
14.00728,testing,1,1,1,0,1.59,0
14.0094,testing,1,1,1,0,1.59,0
14.01152,testing,1,1,1,0,1.59,0
14.0136,testing,1,1,1,0,1.59,0
14.01567,testing,1,1,1,0,1.59,0
14.01773,testing,1,1,1,0,1.59,0
14.0198,testing,1,1,1,0,1.59,0
14.02204,testing,1,1,1,0,1.59,0
14.02449,testing,1,1,1,0,1.59,0
14.02661,testing,1,1,1,0,1.59,0
14.02882,testing,1,1,1,0,1.59,0
14.03099,testing,1,1,1,0,1.59,0
14.03317,testing,1,1,1,0,1.59,0
14.03535,testing,1,1,1,0,1.59,0
14.03749,testing,1,1,1,0,1.59,0
14.03956,testing,1,1,1,0,1.59,0
14.04169,testing,1,1,1,0,1.59,0
14.04413,testing,1,1,1,0,1.59,0
14.04625,testing,1,1,1,0,1.59,0
14.05575,testing,1,1,1,0,1.59,0
14.05856,testing,1,1,1,0,1.59,0
14.06087,testing,1,1,1,0,1.59,0
14.06347,testing,1,1,1,0,1.59,0
14.06567,testing,1,1,1,0,1.59,0
